what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206324568
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357206326424
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357206326460
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357206326461
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357206327807
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357206327901
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357206327927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206335521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206347901
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357206350387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357206350446
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357206350467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206353221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206365236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206366266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206372983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206375382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206417544
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357206419790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206422228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206445239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206446707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206474874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206485750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206503224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206509308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206518982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206520356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206542191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206543809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206570717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206580434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206654541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206658010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206701338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206702823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206738158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206741496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206749742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206750499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206753506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206754867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206798484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1357206833401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206842913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206843693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206850864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206855578
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1357206857293
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1357206857819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206859965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206861602
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357206861787
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357206863379
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357206865434
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357206865508
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357206865536
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1357206868991
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357206869282
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357206870996
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1357206871857
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357206873074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206874472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206975569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357206977254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207031445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207032617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207245177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207246108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207286321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357207288858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207297317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207298496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207302643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207340090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207341319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207372829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207374397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207376776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207378398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207409683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207412074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207440393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207443712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207465596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207466836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207600245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207600922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207667092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207667681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207668955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207669727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207670610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207672250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207683346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207684199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207719022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207719733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207720556
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357207722490
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357207722643
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357207722704
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357207722738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207725833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207739150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207739919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207830232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207833766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207846031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207849138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207870216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207872102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207887835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207891026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207915791
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357207916929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207917735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207978033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207984248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207985360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207987705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207990352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357207991627
