what,kind,bundleId,bundleVersion,description,time
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.cdatetime.example.source_0.14.0.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477949
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.cdatetime.source_0.14.0.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477950
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.compositetable_1.0.0.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477956
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.compositetable.source_1.0.0.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477957
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.gallery_0.5.3.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477958
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.gallery.example_0.5.3.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477959
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.gallery.example.source_0.5.3.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477959
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.gallery.source_0.5.3.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477960
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.ganttchart_1.0.0.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477964
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.ganttchart.example_1.0.0.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477966
error,log,,,"Invalid ZIP archive: lib/nebulaPack/plugins/org.eclipse.nebula.widgets.ganttchart.example.source_1.0.0.201211280956.jar.pack.gz [in GraphicalInterface]",1355156477969
